file|k2c4/k2fits/ktwo211018711-c04_llc.fits
KEPLERID|211018711
EPIC|211018711
CAMPAIGN|4
FLAG|0
MODULE|15
CHANNEL|50
RA|56.21349
DEC|23.268924
PARALLAX|0.0083
CADENCE|long cadence
JMAG|8.184
E_JMAG|0.023
HMAG|8.0059996
E_HMAG|0.024
KMAG|7.9840002
E_KMAG|0.033
KP|8.9289999
TEFF|6739
E_TEFF|333
LOGG|4.2639999
E_LOGG|5.0000001E-2
FEH|-0.037
E_FEH|0.12
RAD|1.4319999999999999
E_RAD|0.18099999999999999
MASS|1.371
E_MASS|0.114
RHO|0.45090000000000002
E_RHO|9.7489999999999993E-2
LUM|
E_LUM|
D|120
E_D|17.579999999999998
EBV|0.1357
E_EBV|9.3599997E-2
