file|k2c4/k2fits/ktwo210359769-c04_llc.fits
KEPLERID|210359769
EPIC|210359769
CAMPAIGN|4
FLAG|0
MODULE|16
CHANNEL|53
RA|58.75599
DEC|12.485583
PARALLAX|0.0256
CADENCE|long cadence
JMAG|8.1809998
E_JMAG|0.021
HMAG|7.6919999
E_HMAG|0.024
KMAG|7.5739999
E_KMAG|0.021
KP|9.7620001
TEFF|4906
E_TEFF|119
LOGG|4.645
E_LOGG|0.055
FEH|-0.38600001
E_FEH|0.36000001
RAD|0.66200000000000003
E_RAD|5.0999999999999997E-2
MASS|0.71599999999999997
E_MASS|7.9000000000000001E-2
RHO|2.4049999999999998
E_RHO|0.77259999999999995
LUM|
E_LUM|
D|39.030000000000001
E_D|2.7730000000000001
EBV|4.6399999E-2
E_EBV|2.7000001E-2
