file|k2c4/k2fits/ktwo210384590-c04_llc.fits
KEPLERID|210384590
EPIC|210384590
CAMPAIGN|4
FLAG|0
MODULE|16
CHANNEL|54
RA|59.64924
DEC|13.105031
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|7.7259998
E_JMAG|1.8999999E-2
HMAG|7.447
E_HMAG|1.7999999E-2
KMAG|7.375
E_KMAG|0.021
KP|9.1680002
TEFF|6113
E_TEFF|186
LOGG|4.2410002
E_LOGG|0.17
FEH|-0.023
E_FEH|0.12
RAD|1.2869999999999999
E_RAD|0.59899999999999998
MASS|1.141
E_MASS|0.20100000000000001
RHO|0.47789999999999999
E_RHO|0.35260000000000002
LUM|
E_LUM|
D|90.260000000000005
E_D|34.329999999999998
EBV|0.122
E_EBV|8.2599998E-2
