file|k2c4/k2fits/ktwo211014750-c04_llc.fits
KEPLERID|211014750
EPIC|211014750
CAMPAIGN|4
FLAG|0
MODULE|15
CHANNEL|50
RA|55.90236
DEC|23.209551
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|13.275
E_JMAG|0.023
HMAG|12.658
E_HMAG|0.021
KMAG|12.375
E_KMAG|0.022
KP|15.654
TEFF|3574
E_TEFF|119
LOGG|5.013
E_LOGG|6.3000001E-2
FEH|0.013
E_FEH|0.12
RAD|0.25600000000000001
E_RAD|4.8000000000000001E-2
MASS|0.26000000000000001
E_MASS|7.0000000000000007E-2
RHO|13.710000000000001
E_RHO|5.391
LUM|
E_LUM|
D|110.3
E_D|25.719999999999999
EBV|0.17820001
E_EBV|8.1600003E-2
