file|k2c4/k2fits/ktwo210926194-c04_llc.fits
KEPLERID|210926194
EPIC|210926194
CAMPAIGN|4
FLAG|0
MODULE|9
CHANNEL|26
RA|59.862165
DEC|21.805285
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|13.544
E_JMAG|2.6000001E-2
HMAG|12.953
E_HMAG|2.7000001E-2
KMAG|12.624
E_KMAG|0.023
KP|15.975
TEFF|3484
E_TEFF|119
LOGG|5.0650001
E_LOGG|8.3999999E-2
FEH|-0.015
E_FEH|0.12
RAD|0.22
E_RAD|5.0999999999999997E-2
MASS|0.20699999999999999
E_MASS|7.2999999999999995E-2
RHO|17.329999999999998
E_RHO|8.8989999999999991
LUM|
E_LUM|
D|98.090000000000003
E_D|31.219999999999999
EBV|0.1416
E_EBV|8.2800001E-2
