file|k2c4/k2fits/ktwo211015853-c04_llc.fits
KEPLERID|211015853
EPIC|211015853
CAMPAIGN|4
FLAG|0
MODULE|15
CHANNEL|50
RA|55.85223
DEC|23.225931
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|9.1009998
E_JMAG|1.8999999E-2
HMAG|8.7220001
E_HMAG|1.7000001E-2
KMAG|8.6549997
E_KMAG|1.7999999E-2
KP|10.317
TEFF|5817
E_TEFF|209
LOGG|4.0310001
E_LOGG|0.42899999
FEH|-0.373
E_FEH|0.30000001
RAD|1.5660000000000001
E_RAD|0.47899999999999998
MASS|0.99099999999999999
E_MASS|0.125
RHO|0.24349999999999999
E_RHO|1.034
LUM|
E_LUM|
D|180
E_D|54.030000000000001
EBV|0.233
E_EBV|5.6400001E-2
