file|k2c4/k2fits/ktwo211006108-c04_llc.fits
KEPLERID|211006108
EPIC|211006108
CAMPAIGN|4
FLAG|0
MODULE|15
CHANNEL|50
RA|56.65026
DEC|23.071505
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|12.932
E_JMAG|0.02
HMAG|12.323
E_HMAG|0.023
KMAG|12.066
E_KMAG|1.7999999E-2
KP|15.209
TEFF|3582
E_TEFF|139
LOGG|5.0110002
E_LOGG|0.07
FEH|-1.6000001E-2
E_FEH|0.15000001
RAD|0.26200000000000001
E_RAD|5.0999999999999997E-2
MASS|0.26800000000000002
E_MASS|7.3999999999999996E-2
RHO|13.550000000000001
E_RHO|6.7220000000000004
LUM|
E_LUM|
D|93.379999999999995
E_D|24.719999999999999
EBV|0.13850001
E_EBV|6.4000003E-2
