file|k2c4/k2fits/ktwo210517342-c04_llc.fits
KEPLERID|210517342
EPIC|210517342
CAMPAIGN|4
FLAG|0
MODULE|12
CHANNEL|39
RA|61.5672
DEC|15.698118
PARALLAX|0.0218
CADENCE|long cadence
JMAG|6.7529998
E_JMAG|0.024
HMAG|6.5320001
E_HMAG|3.5999998E-2
KMAG|6.4460001
E_KMAG|0.024
KP|8.3950005
TEFF|5937
E_TEFF|138
LOGG|4.3959999
E_LOGG|3.9999999E-2
FEH|4.1000001E-2
E_FEH|0.15000001
RAD|1.091
E_RAD|8.1000000000000003E-2
MASS|1.0860000000000001
E_MASS|6.4000000000000001E-2
RHO|0.82450000000000001
E_RHO|0.1222
LUM|
E_LUM|
D|45.93
E_D|2.7429999999999999
EBV|6.4400002E-2
E_EBV|0.0308
