file|k2c4/k2fits/ktwo210744677-c04_llc.fits
KEPLERID|210744677
EPIC|210744677
CAMPAIGN|4
FLAG|0
MODULE|8
CHANNEL|21
RA|61.586025
DEC|19.027508
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|11.341
E_JMAG|0.022
HMAG|10.756
E_HMAG|0.02
KMAG|10.471
E_KMAG|1.7999999E-2
KP|13.631
TEFF|3491
E_TEFF|124
LOGG|5.0380001
E_LOGG|0.048
FEH|0.033
E_FEH|0.18000001
RAD|0.23999999999999999
E_RAD|4.0000000000000001E-2
MASS|0.23000000000000001
E_MASS|5.7000000000000002E-2
RHO|16.25
E_RHO|5.4690000000000003
LUM|
E_LUM|
D|51.189999999999998
E_D|19.34
EBV|6.9700003E-2
E_EBV|3.2400001E-2
