file|k2c4/k2fits/ktwo210964488-c04_llc.fits
KEPLERID|210964488
EPIC|210964488
CAMPAIGN|4
FLAG|0
MODULE|20
CHANNEL|69
RA|53.943315
DEC|22.413912
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|14.152
E_JMAG|2.6000001E-2
HMAG|13.571
E_HMAG|3.2000002E-2
KMAG|13.271
E_KMAG|0.033
KP|16.476
TEFF|3538
E_TEFF|154
LOGG|5.0339999
E_LOGG|9.0999998E-2
FEH|-2.8000001E-2
E_FEH|0.15000001
RAD|0.23300000000000001
E_RAD|0.062
MASS|0.22800000000000001
E_MASS|8.5000000000000006E-2
RHO|15.960000000000001
E_RHO|9.218
LUM|
E_LUM|
D|141.90000000000001
E_D|47.770000000000003
EBV|0.1582
E_EBV|0.1078
