file|k2c4/k2fits/ktwo210971138-c04_llc.fits
KEPLERID|210971138
EPIC|210971138
CAMPAIGN|4
FLAG|0
MODULE|20
CHANNEL|71
RA|53.29371
DEC|22.522041
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|12.119
E_JMAG|0.02
HMAG|11.448
E_HMAG|0.021
KMAG|11.248
E_KMAG|0.023
KP|14.715
TEFF|3772
E_TEFF|37
LOGG|4.902
E_LOGG|0.02
FEH|0.123
E_FEH|5.0000001E-2
RAD|0.373
E_RAD|2.9999999999999999E-2
MASS|0.41299999999999998
E_MASS|3.2000000000000001E-2
RHO|7.8630000000000004
E_RHO|0.4718
LUM|
E_LUM|
D|101.5
E_D|15.029999999999999
EBV|0.1638
E_EBV|4.4799998E-2
