file|k2c4/k2fits/ktwo210824046-c04_llc.fits
KEPLERID|210824046
EPIC|210824046
CAMPAIGN|4
FLAG|0
MODULE|14
CHANNEL|46
RA|57.76971
DEC|20.235107
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|13.647
E_JMAG|0.02
HMAG|12.866
E_HMAG|2.6000001E-2
KMAG|12.674
E_KMAG|2.7000001E-2
KP|15.932
TEFF|4198
E_TEFF|165
LOGG|4.7589998
E_LOGG|4.5000002E-2
FEH|-2.7000001E-2
E_FEH|0.15000001
RAD|0.53200000000000003
E_RAD|6.0999999999999999E-2
MASS|0.59499999999999997
E_MASS|7.0999999999999994E-2
RHO|3.9089999999999998
E_RHO|0.79059999999999997
LUM|
E_LUM|
D|313.39999999999998
E_D|48.090000000000003
EBV|0.42699999
E_EBV|0.147
