file|k2c4/k2fits/ktwo211000096-c04_llc.fits
KEPLERID|211000096
EPIC|211000096
CAMPAIGN|4
FLAG|0
MODULE|15
CHANNEL|50
RA|56.301105
DEC|22.975582
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|13.712
E_JMAG|0.025
HMAG|13.061
E_HMAG|0.024
KMAG|12.938
E_KMAG|0.023
KP|15.681
TEFF|4194
E_TEFF|444
LOGG|4.8179998
E_LOGG|8.5000001E-2
FEH|-0.37799999
E_FEH|0.30000001
RAD|0.443
E_RAD|0.13
MASS|0.499
E_MASS|0.104
RHO|5.0339999999999998
E_RHO|2.585
LUM|
E_LUM|
D|277.89999999999998
E_D|126
EBV|0.2079
E_EBV|0.1504
