file|k2c4/k2fits/ktwo211017570-c04_llc.fits
KEPLERID|211017570
EPIC|211017570
CAMPAIGN|4
FLAG|0
MODULE|15
CHANNEL|49
RA|57.259725
DEC|23.252455
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|10.135
E_JMAG|0.021
HMAG|9.7580004
E_HMAG|0.022
KMAG|9.6569996
E_KMAG|1.7999999E-2
KP|11.471
TEFF|5282
E_TEFF|159
LOGG|4.5500002
E_LOGG|2.9999999E-2
FEH|2.0000001E-3
E_FEH|0.12
RAD|0.82299999999999995
E_RAD|5.1999999999999998E-2
MASS|0.89300000000000002
E_MASS|5.7000000000000002E-2
RHO|1.5580000000000001
E_RHO|0.20630000000000001
LUM|
E_LUM|
D|141.69999999999999
E_D|14.82
EBV|0.14659999
E_EBV|0.1152
